Id,label,freq_abs,beta,type,freq_context,cluster
0,land seizures,10151,8.3372,Scientific articles,0.0034654078749099997,land-related issues
1,slashed export,5801,2.5382,News articles,0.001598804094537,economic issues
2,price rise,39474,4.2369,Scientific articles,0.014944821273687,economic issues
3,mass hunger,8541,7.0365,Keywords expansion,0.0027979071654400003,food crisis
4,cyclone,22822,4.2374,Scientific articles,0.005987521334042,weather shocks
5,failed crops,6381,4.8193,Keywords expansion,0.0015668280126470001,agricultural production issues
6,disruption to farming,3690,2.0394,Keywords expansion,0.0015268579102830002,agricultural production issues
7,massive starvation,8588,5.3917,Scientific articles,0.0036452733355450003,food crisis
8,abnormally low rainfall,1626,1.5854,Scientific articles,0.000659506688997,weather shocks
9,withheld relief,7748,0.2904,Scientific articles,0.004868358467866,humanitarian aid
10,international alarm,2102,0.85,Scientific articles,0.0006195365866330001,humanitarian aid
11,reduced national output,9562,1.3663,Keywords expansion,0.004192863737924,economic issues
12,oppressive regimes,1564,4.4635,Scientific articles,0.000683488750415,political instability
13,pests,13884,3.1139,Scientific articles,0.0050362328977919995,pests and diseases
14,continued deterioration,2593,6.882000000000001,News articles,0.001011243589795,other
15,forests destroyed,6576,9.5316,News articles,0.003513371997746,land-related issues
16,man-made disaster,5688,0.3189,News articles,0.0029178174725309996,other
17,food insecurity,31608,4.2829,Scientific articles,0.126337499550336,food crisis
18,harvests are devastated,6337,7.0719,Keywords expansion,0.003073700871748,agricultural production issues
19,humanitarian situation,34453,1.4384,Keywords expansion,0.018382250076943,humanitarian aid
20,economic impoverishment,4510,9.4549,Scientific articles,0.001938549964626,economic issues
21,clan battle,2370,8.4103,Scientific articles,0.00135498647012,conflicts and violence
22,population crisis,2765,8.9337,Scientific articles,0.000883339262232,other
23,aid appeal,9099,6.1712,Scientific articles,0.002050466251244,humanitarian aid
24,weather extremes,3435,9.8202,Keywords expansion,0.001374971521302,weather shocks
25,anti-western policies,1837,7.8943,News articles,0.0009872615283769998,political instability
26,rinderpest,9047,8.9595,Scientific articles,0.004956292693066,pests and diseases
27,inadequate rainfall,9140,1.8883,Keywords expansion,0.004668507956049,weather shocks
28,lack of authority,7257,7.1342,News articles,0.002298280885897,political instability
29,acute hunger,2997,9.3759,News articles,0.011979039678321,food crisis
30,foreign troops,65166,7.6605,News articles,0.028059011859128995,conflicts and violence
31,increased external debt,5717,1.1958,Scientific articles,0.002965781595367,economic issues
32,drought,139740,4.0704,Scientific articles,0.009181132512879999,weather shocks
33,conflict,754194,8.9743,Scientific articles,0.012910343063389,conflicts and violence
34,failed rains,4429,9.426,Scientific articles,0.002965781595367,weather shocks
35,makeshift camps,6457,7.4341,News articles,0.001902576872499,forced displacement
36,civilians uprooted,1087,1.2121,Scientific articles,0.000547590402379,forced displacement
37,dysfunction,19332,2.1728,Scientific articles,0.010943814027108001,food crisis
38,foreign aid,42924,5.7803,News articles,0.009700743843605,humanitarian aid
